Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Cancer plebejus;;;;Animalia;Arthropoda;Malacostraca;Decapoda;Cancridae;Cancer;440380;;Oui;Oui
Cancrion needleri;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Entoniscidae;Cancrion;157841;;Oui;Oui
Candacia armata;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Candaciidae;Candacia;104474;;Oui;Oui
Candelabrum phrygium;;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Candelabridae;Candelabrum;117420;;Oui;
Canthidermis sufflamen;Ocean Triggerfisdh;Poisson-Lime;;Animalia;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Canthidermis;127399;;;
Canuella perplexa;;;;Animalia;Arthropoda;Hexanauplia;Canuelloida;Canuellidae;Canuella;115723;;Oui;Oui
Capitella capitata;;Gallery Worm;;Animalia;Annelida;Polychaeta;rank absent;Capitellidae;Capitella;129876;;Oui;Oui
Capitella giardi;;;;Animalia;Annelida;Polychaeta;rank absent;Capitellidae;Capitella;129877;;;
Caprella linearis;;Chevrolle Scolopendroïde (La);;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;101839;;Oui;Oui
Caprella mutica;Japanese Skeleton Shrimp;Caprelle Japonaise;;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;146768;;;
Caprella penantis;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;101846;;Oui;Oui
Caprella rinki;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;158159;;Oui;Oui
Caprella septentrionalis;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;101851;;Oui;Oui
Caprella unica;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;158160;;Oui;Oui
Caranx crysos;Blue Runner;Carangue Coubali;;Animalia;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;126802;;;
Caranx hippos;Crevalle Jack;Carangue Crevalle;;Animalia;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;126803;;;
Carassius auratus;Goldfish;Carassin Doré ou Poisson Rouge;;Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;154298;;;
Carbasea carbasea;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Flustridae;Carbasea;111362;;Oui;
Carcharhinus altimus;Bignose Shark;Requin Babosse ou Requin-Babosse;;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;105787;;;
Carcharhinus limbatus;Blacktip Shark ou Blackfin Shark;Requin Bordé;;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;105793;;;
Carcharhinus longimanus;Oceanic Whitetip Shark;Requin À  Longues Nageoires;;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;105794;;;
Carcharhinus obscurus;Dusky Shark;Requin De Sable ou Requin Sombre;;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;105796;;;
Carcharhinus plumbeus;Sandbar Shark;Requin Gris;;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;105797;;;
Carcharhinus signatus;Night Shark;Requin De Nuit;;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;105798;;;
Carcharias taurus;Sand Tiger Shark;Requin Taureau;;Animalia;Chordata;Elasmobranchii;Lamniformes;Odontaspididae;Carcharias;105843;;;
Carcharodon carcharias;Great White Shark;Grand Requin Blanc;;Animalia;Chordata;Elasmobranchii;Lamniformes;Lamnidae;Carcharodon;105838;;;Oui
Carcinus maenas;European Green Crab ou Shore Crab;Crabe Enragé (Le) ou Crabe Vert (Le) ou Crabe Vert Européen (Le) ou Beillouc ou Cancre (Le) ou Carcin Ménade (Le) ou Chancre (Le) ou Chancre Des Marais (Le) ou Chancre Des Mers (Le) ou Crabe Commun (Le) ou Crabe Couresse (Le) ou Crabe Courraise (Le) ou Crabe Rouge (Le) ou Crabe Vert Atlantique (Le) ou Crabe Verte (La) ou Crabouillard (Le) ou Dada (Le) ou Poulet De Mer (Le) ou Riverrois (Le) ou Sinagot (Le);;Animalia;Arthropoda;Malacostraca;Decapoda;Carcinidae;Carcinus;107381;;Oui;Oui
Careproctus reinhardti;Sea Tadpole;Petite Limace De Mer;;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Careproctus;127212;;;Oui
Caridion gordoni;Big-Clawed Shrimp;Crevette De Gordon;;Animalia;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Caridion;107499;;Oui;Oui
Carinocythereis whitei;;;;Animalia;Arthropoda;Ostracoda;Podocopida;Trachyleberididae;Carinocythereis;128372;;Oui;
Caristius fasciatus;;;;Animalia;Chordata;Actinopteri;Scombriformes;Caristiidae;Caristius;873087;;;Oui
Carpiodes cyprinus;River Carpsucker;Couette;;Animalia;Chordata;Actinopteri;Cypriniformes;Catostomidae;Carpiodes;1022879;;;
Caryocorbula contracta;;;;Animalia;Mollusca;Bivalvia;Myida;Corbulidae;Caryocorbula;420977;;Oui;Oui
Casco bigelowi;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Cheirocratidae;Casco;158077;;Oui;Oui
Catablema vesicarium;;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Pandeidae;Catablema;117784;;;
Catostomus catostomus;Longnose Sucker;Meunier Rouge;;Animalia;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;158706;;;
Catostomus commersonii;White Sucker;Meunier Noir;;Animalia;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;158707;;;Oui
Catostomus platyrhynchus;Mountain Sucker;Meunier Des Montagnes;;Animalia;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;592848;;;
Caudina arenata;Sand-Dwelling Fusiform Sea Cucumber;Holothurie Des Sables;;Animalia;Echinodermata;Holothuroidea;Molpadida;Caudinidae;Caudina;152559;;Oui;Oui
Caulophryne jordani;Fanfin Angler;Baudroie Épineuse Abyssale;;Animalia;Chordata;Actinopteri;Lophiiformes;Caulophrynidae;Caulophryne;126534;;;
Cauloramphus cymbaeformis;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Cauloramphus;111201;;Oui;
Cauloramphus spiniferum;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Cauloramphus;111202;;Oui;
Cecrops latreillii;;Cécrops De Latreille (Le);;Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Pandaridae;Cecrops;357742;;Oui;Oui
Celleporella hyalina;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Hippothoidae;Celleporella;111397;;Oui;
Celleporina surcularis;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;Celleporina;111277;;Oui;
Celleporina ventricosa;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;Celleporina;111279;;Oui;
Centrobranchus nigroocellatus;Sickle-Ear Lanternfish ou Roundnose Lanternfish;Poisson-Lanterme;;Animalia;Chordata;Actinopteri;Myctophiformes;Myctophidae;Centrobranchus;126584;;;
Centrodraco acanthopoma;;;;Animalia;Chordata;Actinopteri;Callionymiformes;Draconettidae;Centrodraco;126847;;;
Centrolophus niger;Black Ruff ou Rudderfish ou Blackfish;Pompile Noir ou Centrolophe Noir;;Animalia;Chordata;Actinopteri;Scombriformes;Centrolophidae;Centrolophus;126831;;;
Centromedon pumilus;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Centromedon;102548;;Oui;Oui
Centropages bradyi;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Centropages;104491;;;
Centropages hamatus;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Centropages;104496;;Oui;Oui
Centropages typicus;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Centropages;104499;;Oui;Oui
Centropristis philadelphica;Rock Sea Bass;Bar De Roche;;Animalia;Chordata;Actinopteri;Perciformes;Serranidae;Centropristis;159347;;;
Centropristis striata;Black Sea Bass;Bar Noir;;Animalia;Chordata;Actinopteri;Perciformes;Serranidae;Centropristis;159348;;;
Centroscyllium fabricii;Black Dogfish;Aiguillat Noir;;Animalia;Chordata;Elasmobranchii;Squaliformes;Etmopteridae;Centroscyllium;105906;;;Oui
Centroscymnus coelolepis;Portuguese Shark;Pailona Commun;;Animalia;Chordata;Elasmobranchii;Squaliformes;Somniosidae;Centroscymnus;105907;;;
Cephalothrix spiralis;;;;Animalia;Nemertea;Palaeonemertea;Archinemertea;Cephalotrichidae;Cephalothrix;147119;;Oui;
Cepphus grylle;Black Guillemot;Guillemot À Miroir;;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Cepphus;137130;;;
Ceramaster granularis;;;;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Ceramaster;124020;;Oui;Oui
Ceratias holboelli;Kroyer S Deep-Sea Angler Fish ou Deep-Sea Angler;Grand Pêcheur Abyssal ou Noah;;Animalia;Chordata;Actinopteri;Lophiiformes;Ceratiidae;Ceratias;126537;;;Oui
Ceratocephale loveni;;;;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Ceratocephale;130367;;Oui;Oui
Ceratoscopelus maderensis;Horned Lanternfish ou Madeira Lanternfish;Lanterne De Madaere ou Lanterne Cornée;;Animalia;Chordata;Actinopteri;Myctophiformes;Myctophidae;Ceratoscopelus;126585;;;
Ceratoscopelus warmingii;Southseas Lanternfish;Lanterne Des Mers Du Sud;;Animalia;Chordata;Actinopteri;Myctophiformes;Myctophidae;Ceratoscopelus;126586;;;
Cercaria myae;;;;Animalia;Platyhelminthes;Trematoda;Digenea incertae sedis;rank absent;Cercaria;160471;;Oui;
Cerebratulus lacteus;;;;Animalia;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Cerebratulus;147322;;Oui;
Cerebratulus marginatus;;;;Animalia;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Cerebratulus;122478;;Oui;
Cerebratulus melanops;;;;Animalia;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Cerebratulus;147361;;Oui;
Cerithiella metula;;;;Animalia;Mollusca;Gastropoda;[unassigned] Caenogastropoda;Newtoniellidae;Cerithiella;139072;;;
Cerithiopsis greenii;Green S Miniature Cerith;Petit Cérithe De Green;;Animalia;Mollusca;Gastropoda;[unassigned] Caenogastropoda;Cerithiopsidae;Cerithiopsis;160161;;Oui;Oui
Cervinia synarthra synartha;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Aegisthidae;Cervinia;744775;;Oui;Oui
Cetorhinus maximus;Basking Shark;Requin Pèlerin;;Animalia;Chordata;Elasmobranchii;Lamniformes;Cetorhinidae;Cetorhinus;105837;;;Oui
Chaceon quinquedens;Red Deep-Sea Crab;Crabe Abyssal Rouge;;Animalia;Arthropoda;Malacostraca;Decapoda;Geryonidae;Chaceon;158407;;;Oui
Chaenophryne draco;Smooth Dreamer;;;Animalia;Chordata;Actinopteri;Lophiiformes;Oneirodidae;Chaenophryne;126559;;;
Chaenophryne longiceps;;;;Animalia;Chordata;Actinopteri;Lophiiformes;Oneirodidae;Chaenophryne;126560;;;
Chaetoderma canadense;;;;Animalia;Mollusca;Caudofoveata;Chaetodermatida;Chaetodermatidae;Chaetoderma;159929;;Oui;Oui
Chaetodon ocellatus;Spotfin Butterflyfish;Palhala;;Animalia;Chordata;Actinopteri;Acanthuriformes;Chaetodontidae;Chaetodon;159662;;;
Chaetozone setosa;;;;Animalia;Annelida;Polychaeta;Terebellida;Cirratulidae;Chaetozone;129955;;Oui;Oui
Chaetozone whiteavesi;;;;Animalia;Annelida;Polychaeta;Terebellida;Cirratulidae;Chaetozone;157295;;Oui;Oui
Chauliodus danae;Dana Viperfish;Chauliode De Dana;;Animalia;Chordata;Actinopteri;Stomiiformes;Stomiidae;Chauliodus;127337;;;
Chauliodus sloani;Sloane S Viperfish;Chauliode De Sloane ou Grandcroc Petit Fil;;Animalia;Chordata;Actinopteri;Stomiiformes;Stomiidae;Chauliodus;127338;;;Oui
Chaunax pictus;Pink Frogmouth;Poisson Crapaud À Bouche Rose;;Animalia;Chordata;Actinopteri;Lophiiformes;Chaunacidae;Chaunax;126539;;;
Chaunax stigmaeus;Red Eye Gaper;;;Animalia;Chordata;Actinopteri;Lophiiformes;Chaunacidae;Chaunax;159151;;;
Cheilopogon furcatus;Spotfin Flyingfish;Exocet À Nageoires Tachetées;;Animalia;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;159261;;;
Cheilopogon heterurus;Blotchwing Flyingfish ou Mediterranean Flyingfish;Exocet Grande Aile ou Exocet Méditerranéen;;Animalia;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;126382;;;
Cheilopogon melanurus;Atlantic Flyingfish;Exocet Atlantique;;Animalia;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;272157;;;
Cheilopora sincera;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Cheiloporinidae;Cheilopora;111300;;Oui;
Chelonia mydas;Common Green Turtle;Tortue Franche (La) ou Tortue Verte;;Animalia;Chordata;rank absent;Testudines;Cheloniidae;Chelonia;137206;;;
Chelyosoma macleayanum;;;;Animalia;Chordata;Ascidiacea;Phlebobranchia;Corellidae;Chelyosoma;103740;;Oui;Oui
Chiasmodon niger;Black Swallower;Gargare Noir;;Animalia;Chordata;Actinopteri;Scombriformes;Chiasmodontidae;Chiasmodon;126840;;;
Chilomycterus schoepfii;Striped Burrfish;Atinga Bariolé;;Animalia;Chordata;Actinopteri;Tetraodontiformes;Diodontidae;Chilomycterus;159488;;;
Chimaera monstrosa;Rabbitfish;Chimère Commune;;Animalia;Chordata;Holocephali;Chimaeriformes;Chimaeridae;Chimaera;105824;;;
Chionoecetes opilio;Snow Crab;Crabe Des Neiges;;Animalia;Arthropoda;Malacostraca;Decapoda;Oregoniidae;Chionoecetes;107315;;Oui;Oui
Chiridius gracilis;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Aetideidae;Chiridius;104290;;Oui;Oui
Chiridota laevis;Silky Footless Sea Cucumber;Holothurie Vermiforme;;Animalia;Echinodermata;Holothuroidea;Apodida;Chiridotidae;Chiridota;124434;;Oui;Oui
Chiridotea tuftsii;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetiliidae;Chiridotea;119031;;Oui;Oui
Chirolophis ascanii;Atlantic Warbonnet ou Yarrell S Blenny;Toupet Marbré;;Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Chirolophis;127071;;;
Chirona hameri;Turban Barnacle;Balane Turbané;;Animalia;Arthropoda;Thecostraca;Balanomorpha;Balanidae;Chirona;106207;;Oui;Oui
Chirostomias pliopterus;Flexfin Dragonfish ou Scaleless Dragonfish;Dragon À Nageoires Ployées ou Dragon À  Nageoires Ramifiées;;Animalia;Chordata;Actinopteri;Stomiiformes;Stomiidae;Chirostomias;127339;;;
Chitinopoma serrula;;;;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Chitinopoma;130986;;;
Chlamys islandica;Iceland Scallop;Pétoncle D Islande;;Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae;Chlamys;140692;;Oui;Oui
Chlopsis bicolor;Bicolor Eel;;;Animalia;Chordata;Actinopteri;Anguilliformes;Chlopsidae;Chlopsis;126282;;;
Chlorophthalmus agassizi;Shortnose Greeneye;Oeil-Vert Camus ou Éperlan Du Large;;Animalia;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;126336;;;
Chondracanthus cottunculi;;;;Animalia;Arthropoda;Hexanauplia;Cyclopoida;Chondracanthidae;Chondracanthus;157740;;Oui;Oui
Chondracanthus nodosus;;;;Animalia;Arthropoda;Hexanauplia;Cyclopoida;Chondracanthidae;Chondracanthus;128767;;Oui;Oui
Chondrus crispus;Irish Moss ou Carrageen;Mousse D Irlande;;Plantae;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae;Chondrus;145625;;;
Chone duneri;;;;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;130888;;Oui;Oui
Chone infundibuliformis;;;;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;130891;;Oui;Oui
Chorda filum;Smooth Cord Weed ou Sea Lace;Lacet De Mer ou Fil De Mer;;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Chordaceae;Chorda;145722;;;
Chromadora axi;;;;Animalia;Nematoda;Chromadorea;Chromadorida;Chromadoridae;Chromadora;120677;;Oui;
Chromadora nudicapitata;;;;Animalia;Nematoda;Chromadorea;Chromadorida;Chromadoridae;Chromadora;120684;;Oui;
Chromadorita tenuis;;;;Animalia;Nematoda;Chromadorea;Chromadorida;Chromadoridae;Chromadorita;120757;;Oui;
Chrosomus eos;;;;Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Chrosomus;567541;;;
Chtenopteryx sicula;;;;Animalia;Mollusca;Cephalopoda;Bathyteuthida;Chtenopterygidae;Chtenopteryx;181377;;;
Chydorus sphaericus;;Lyncée Sphérique (Le);;Animalia;Arthropoda;Branchiopoda;Anomopoda;Chydoridae;Chydorus;148406;;Oui;Oui
Ciliata septentrionalis;Northern Rockling;Motelle Nordique;;Animalia;Chordata;Actinopteri;Gadiformes;Lotidae;Ciliata;126449;;;
Ciliatocardium ciliatum;;;;Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Ciliatocardium;139000;;;Oui
Ciona intestinalis;Yellow Sea-Squirt ou Tube Sea-Squirt ou Sea Vase;Ascidie Jaune ou Cione ou Cione Instestinale;;Animalia;Chordata;Ascidiacea;Phlebobranchia;Cionidae;Ciona;103732;;Oui;Oui
Circeis armoricana;;;;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Circeis;131198;;Oui;Oui
Circeis spirillum;;;;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Circeis;131201;;Oui;Oui
Cirratulus cirratus;;;;Animalia;Annelida;Polychaeta;Terebellida;Cirratulidae;Cirratulus;129959;;Oui;Oui
Cirrophorus branchiatus;;;;Animalia;Annelida;Polychaeta;rank absent;Paraonidae;Cirrophorus;130576;;Oui;Oui
Cirrophorus brevicirratus;;;;Animalia;Annelida;Polychaeta;rank absent;Paraonidae;Cirrophorus;157298;;Oui;Oui
Cirrophorus furcatus;;;;Animalia;Annelida;Polychaeta;rank absent;Paraonidae;Cirrophorus;130577;;Oui;Oui
Cirroteuthis muelleri;;;;Animalia;Mollusca;Cephalopoda;Octopoda;Cirroteuthidae;Cirroteuthis;342212;;;
Cirrothauma murrayi;Blind Cirrate Octopus;;;Animalia;Mollusca;Cephalopoda;Octopoda;Cirroteuthidae;Cirrothauma;139174;;;
Cistenides granulata;;;;Animalia;Annelida;Polychaeta;Terebellida;Pectinariidae;Cistenides;238377;;Oui;Oui
Cistenides hyperborea;;;;Animalia;Annelida;Polychaeta;Terebellida;Pectinariidae;Cistenides;157317;;Oui;Oui
Citharichthys arctifrons;Gulf Stream Flounder;Turbot Du Gulf Stream;;Animalia;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;158791;;;
Citharichthys cornutus;Horned Whiff;Limande Cornée;;Animalia;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;158792;;;
Citharichthys gymnorhinus;Anglefin Whiff;Plie Carreée;;Animalia;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;158793;;;
Cladorhiza abyssicola;Deep-Water Horny Sponge;Éponge Hadale;;Animalia;Porifera;Demospongiae;Poecilosclerida;Cladorhizidae;Cladorhiza;133188;;Oui;
Clangula hyemalis;Long-Tailed Duck;Harelde Kakawi ou Harelde De Miquelon ou Harelde Boréale;;Animalia;Chordata;Aves;Anseriformes;Anatidae;Clangula;137071;;;
Clathria (Clathria) prolifera;;;;Animalia;Porifera;Demospongiae;Poecilosclerida;Microcionidae;Clathria;167563;;Oui;
Clathrina cancellata;Lattice Calcareous Sponge;Éponge Tramée;;Animalia;Porifera;Calcarea;Clathrinida;Clathrinidae;Clathrina;132273;;Oui;Oui
Clathrina coriacea;White Lace Calcareous Sponge;Éponge Coriace;;Animalia;Porifera;Calcarea;Clathrinida;Clathrinidae;Clathrina;132277;;Oui;
Clava multicornis;Club-Headed Hydroid;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Clava;117426;;Oui;
Clavella adunca;;Anchorelle Brévicole (L );;Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Lernaeopodidae;Clavella;135842;;Oui;Oui
Clavella pinguis;;;;Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Lernaeopodidae;Clavella;157765;;;
Clavellisa cordata;;;;Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Lernaeopodidae;Clavellisa;157768;;Oui;Oui
Clavularia modesta;Humble Club Coral;Corail Modeste;;Animalia;Cnidaria;Anthozoa;Alcyonacea;Clavulariidae;Clavularia;158266;;Oui;
Clestobothrium crassiceps;;;;Animalia;Platyhelminthes;Cestoda;Bothriocephalidea;Bothriocephalidae;Clestobothrium;105196;;Oui;
Cletodes longicaudatus;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Cletodidae;Cletodes;115769;;Oui;Oui
Cletodes tenuipes;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Cletodidae;Cletodes;115776;;Oui;Oui
Clinostomus elongatus;Redside Dace;Méné Long;;Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Clinostomus;1020946;;;
Cliona celata;Yellow Boring Horny Sponge;Éponge Jaune;;Animalia;Porifera;Demospongiae;Clionaida;Clionaidae;Cliona;134121;;Oui;
Cliona lobata;Lobate Boring Horny Sponge;Éponge Lobée;;Animalia;Porifera;Demospongiae;Clionaida;Clionaidae;Cliona;134131;;Oui;
Clione limacina;Common Clione;;;Animalia;Mollusca;Gastropoda;Pteropoda;Clionidae;Clione;139178;;Oui;Oui
Clupea harengus;Atlantic Herring ou Herring;Hareng De L Atlantique ou Hareng Commun;;Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;126417;;;Oui
Clymenella torquata;Bambou Worm;Vers Bambou;;Animalia;Annelida;Polychaeta;rank absent;Maldanidae;Clymenella;130279;;Oui;Oui
Clymenella zonalis;;;;Animalia;Annelida;Polychaeta;rank absent;Maldanidae;Clymenella;157320;;Oui;Oui
Clymenura borealis;;;;Animalia;Annelida;Polychaeta;rank absent;Maldanidae;Clymenura;130281;;Oui;Oui
Clymenura polaris;;;;Animalia;Annelida;Polychaeta;rank absent;Maldanidae;Clymenura;130286;;;
Clytia hemisphaerica;;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;117368;;Oui;
Cnemidocarpa finmarkiensis;;;;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;103870;;;Oui
Cnemidocarpa mollis;;;;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;103873;;Oui;Oui
Cnemidocarpa rhizopus;;;;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;103877;;Oui;Oui
Coccorella atlantica;;;;Animalia;Chordata;Actinopteri;Aulopiformes;Evermannellidae;Coccorella;126337;;;
Cochlodesma leanum;;;;Animalia;Mollusca;Bivalvia;rank absent;Periplomatidae;Cochlodesma;506847;;Oui;Oui
Coelorinchus caelorhincus;Hollowsnout Grenadier;Grenadier Raton;;Animalia;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;398381;;;
Colga pacifica;;;;Animalia;Mollusca;Gastropoda;Nudibranchia;Polyceridae;Colga;140829;;;
Colga villosa;;;;Animalia;Mollusca;Gastropoda;Nudibranchia;Polyceridae;Colga;146851;;;Oui
Colus pubescens;Hairy Whelk;;;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Colus;160212;;Oui;Oui
Colus pygmaeus;Pygmy Whelk;;;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Colus;160214;;Oui;Oui
Colus terraenovae;Ventricose Whelk;;;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Colus;405961;;Oui;Oui
Conchoderma auritum;Eared Goose Barnacle;Conchoderma À Deux Oreilles;;Animalia;Arthropoda;Thecostraca;Scalpellomorpha;Lepadidae;Conchoderma;106146;;Oui;Oui
Conger oceanicus;American Conger;Congre Américain;;Animalia;Chordata;Actinopteri;Anguilliformes;Congridae;Conger;158566;;;
Conocara salmoneum;Deepsea Slickhead;;;Animalia;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Conocara;126698;;;
Conopeum reticulum;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Electridae;Conopeum;111351;;Oui;
Contracaecum osculatum;;;;Animalia;Nematoda;Chromadorea;Rhabditida;Anisakidae;Contracaecum;122907;;Oui;
Cookeolus japonicus;Longfinned Bullseye;Priacanthe Oeil-De-Taureau ou Beauclaire Longue Aile;;Animalia;Chordata;Actinopteri;Eupercaria incertae sedis;Priacanthidae;Cookeolus;127003;;;
Copidognathus biodomus;;;;Animalia;Arthropoda;Arachnida;Trombidiformes;Halacaridae;Copidognathus;158467;;Oui;Oui
Corambe obscura;Obscure Corambe;;;Animalia;Mollusca;Gastropoda;Nudibranchia;Corambidae;Corambe;139407;;Oui;Oui
Cordylophora caspia;Freshwater Hydroid;Cordylophore De La Caspienne;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Cordylophoridae;Cordylophora;117428;;Oui;
Coregonus artedi;Lake Herring;Cisco De Lac;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;158725;;;
Coregonus clupeaformis;Common Whitefish ou Lake Whitefish;Corégone De Lac ou Corégone Cisco;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;158726;;;Oui
Coregonus hoyi;Bloater;Cisco De Fumage;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;1049459;;;
Coregonus huntsmani;Atlantic Whitefish;Corégone D Acadie;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;158074;;;
Coregonus johannae;Deepwater Cisco;Cisco De Profondeur;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;1307267;;;
Coregonus kiyi;Kiyi;Cisco Kiyi;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;1016849;;;
Coregonus nigripinnis;Blackfin Cisco;Cisco À Nageoires Noires;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;1307269;;;
Coregonus reighardi;Shortnose Cisco;Cisco À Museau Court;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;1016527;;;
Coregonus zenithicus;Shortjaw Cisco;Cisco À Machoires Égales;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;567528;;;
Coronopora truncata;;;;Animalia;Bryozoa;Stenolaemata;Cyclostomatida;Lichenoporidae;Coronopora;111724;;Oui;
Coronula diadema;;;;Animalia;Arthropoda;Thecostraca;Balanomorpha;Coronulidae;Coronula;106236;;Oui;Oui
Corophium volutator;;Termite [Des Ostréiculteurs] (Le);;Animalia;Arthropoda;Malacostraca;Amphipoda;Corophiidae;Corophium;102101;;Oui;Oui
