Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Rhachotropis oculata;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Rhachotropis;102240;;Oui;Oui
Rhadinesthes decimus;Slender Snaggletooth;Dragon Élancé;;Animalia;Chordata;Actinopteri;Stomiiformes;Stomiidae;Rhadinesthes;127373;;;
Rhamphostomella bilaminata;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Umbonulidae;Rhamphostomella;111139;;Oui;
Rhamphostomella costata;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Umbonulidae;Rhamphostomella;111140;;Oui;
Rhamphostomella hincksi;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Umbonulidae;Rhamphostomella;111141;;Oui;
Rhamphostomella ovata;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Umbonulidae;Rhamphostomella;111142;;Oui;
Rhamphostomella plicata;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Umbonulidae;Rhamphostomella;111143;;Oui;
Rhamphostomella radiatula;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Umbonulidae;Rhamphostomella;111144;;Oui;
Rhamphostomella scabra;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Umbonulidae;Rhamphostomella;111145;;Oui;
Rhinichthys atratulus;Blacknose Dace;Naseux Noir;;Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Rhinichthys;159985;;;
Rhinichthys cataractae;Longnose Dace;Naseux Des Rapides;;Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Rhinichthys;567547;;;
Rhinichthys osculus;Speckled Dace;Naseux Léopard;;Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Rhinichthys;592846;;;
Rhinochimaera atlantica;Spearnose Chimaera ou Straightnose Rabbitfish ou Knifenose Chimaera;Chimaere À  Nez Mou ou Chimère-Couteau;;Animalia;Chordata;Holocephali;Chimaeriformes;Rhinochimaeridae;Rhinochimaera;105830;;;
Rhithropanopeus harrisii;Estuarine Mud Crab;Crabe Estuarien ou Crabe De Boue (Le) ou Xanthe ou Crabe Du Zuiderzee (Le) ou Crabe De Vase (Le);;Animalia;Arthropoda;Malacostraca;Decapoda;Panopeidae;Rhithropanopeus;107414;;Oui;Oui
Rhizocaulus verticillatus;Horse-Tail Hydroid;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Rhizocaulus;117399;;Oui;Oui
Rhizoprionodon terraenovae;Atlantic Sharpnose Shark;Requin À  Nez Pointu;;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Rhizoprionodon;158510;;;
Rhizorhagium roseum;;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Rhizorhagium;117354;;Oui;
Rhizothrix minuta;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Rhizotrichidae;Rhizothrix;116481;;Oui;Oui
Rhodichthys regina;Threadfin Snailfish;Limace À Filament;;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Rhodichthys;127231;;;
Rhodine gracilior;;;;Animalia;Annelida;Polychaeta;rank absent;Maldanidae;Rhodine;130330;;Oui;Oui
Rhodine loveni;;;;Animalia;Annelida;Polychaeta;rank absent;Maldanidae;Rhodine;130331;;Oui;Oui
Rhynchothalestris helgolandica;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Thalestridae;Rhynchothalestris;116612;;Oui;Oui
Rissa tridactyla;Black-Legged Kittiwake;Mouette Tridactyle;;Animalia;Chordata;Aves;Charadriiformes;Laridae;Rissa;137156;;;
Robertsonites tuberculatus;;;;Animalia;Arthropoda;Ostracoda;Podocopida;Trachyleberididae;Robertsonites;128392;;Oui;Oui
Robustosergia robusta;Strong Prawn;Gamba Robuste;;Animalia;Arthropoda;Malacostraca;Decapoda;Sergestidae;Robustosergia;1056517;;;Oui
Rondeletia loricata;Redmouth Whalefish;Poisson-Baleine Diable;;Animalia;Chordata;Actinopteri;Beryciformes;Rondeletiidae;Rondeletia;126412;;;
Rossia bullisi;Gulf Bobtail Squid;Sépiole Bouledogue;;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiolidae;Rossia;342194;;;
Rossia glaucopis;;;;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiolidae;Rossia;153095;;;
Rossia megaptera;Big-Fin Bobtail Squid;;;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiolidae;Rossia;157032;;Oui;Oui
Rossia moelleri;;;;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiolidae;Rossia;156383;;;
Rossia palpebrosa;Warty Bobtail Squid;;;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiolidae;Rossia;153083;;Oui;Oui
Rossia tortugaensis;Tortugas Bobtail Squid;Sépiole Tortuette;;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiolidae;Rossia;342199;;;
Rostroculodes borealis;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Rostroculodes;423725;;Oui;Oui
Rostroculodes kroyeri;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Rostroculodes;423727;;Oui;Oui
Rostroculodes longirostris;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Rostroculodes;423728;;Oui;Oui
